RestaurantName,LocationName,CategoryName,Address,City,State,Zip,Violations,CurrentDemerits,InspectionDemerits
TWIN PEAKS LEVEL 1 BAR,TWIN PEAKS @ HARMON CENTER,Bar / Tavern,3717 S LAS VEGAS Blvd 285,Las Vegas,Nevada,89109,11,0.0,26.0
Applebee's #6106 Restaurant,Applebee's,Restaurant,4605 W Charleston Blvd,Las Vegas,Nevada,89102-1548,51,110.0,108.0
COSMO EC VIP PANTRY SUPPORT P4,COSMOPOLITAN RESORT & CASINO,Pantry,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,20,64.0,30.0
Conestoga Gc New - Golf Cart #2,CONESTOGA GOLF COURSE,Portable Unit,1499 FALCON RIDGE Pkwy,Mesquite,Nevada,89034,1,0.0,0.0
REBEL #98 - SNACK BAR,Rebel #98,Snack Bar,2920 S Nellis Blvd,Las Vegas,Nevada,89121-2018,35,79.0,61.0
BOURBON STREET #136 - SNACK BAR,BOURBON STREET #136,Snack Bar,2750 E CRAIG,North Las Vegas,Nevada,89030,7,12.0,12.0
"Bruner, Lucile S Elem School Kitchen","Bruner, Lucile S Elem School",Elementary School Kitchen,4289 Allen Ln,North Las Vegas,Nevada,89032-0548,20,0.0,5.0
ARIA BUFFET SWEETS / BEVERAGE STATION,ARIA HOTEL & CASINO,Buffet,3730 S Las Vegas Blvd,Las Vegas,Nevada,89109,16,3.0,20.0
SAUSAGEFEST,SAUSAGEFEST,Restaurant,953 E SAHARA,Las Vegas,Nevada,89104,5,10.0,13.0
CENTERPLATE GRILL WORKS NH,CENTERPLATE @ CONVENTION CENTER,Restaurant,3150 PARADISE Rd,Las Vegas,Nevada,89109,2,8.0,8.0
EXCALIBUR PARTY PIT PORTABLE BAR,EXCALIBUR HOTEL & CASINO,Portable Unit,3850 S Las Vegas Blvd,Las Vegas,Nevada,89109-4324,13,0.0,9.0
South Point Grandview Lounge,South Point Hotel & Casino,Bar / Tavern,9777 Las Vegas Blvd,Las Vegas,Nevada,89183-4013,21,10.0,57.0
JW Marriott Bingo Room Snack Bar,JW Marriott/RAMPART Hotel & Casino,Snack Bar,221 N Rampart Blvd,Las Vegas,Nevada,89145-5722,5,3.0,3.0
CAESARS GUY SAVOY DISHWASH,CAESARS PALACE HOTEL & CASINO,Special Kitchen,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,17,24.0,18.0
SPRINGHILL STES LVCC PANTRY FL 8,SPRINGHILL SUITES LAS VEGAS CONV CTR,Pantry,2989 Paradise Rd,Las Vegas,Nevada,89109-1220,11,45.0,24.0
IMPERIAL TACOS & BEER BAR,IMPERIAL TACOS & BEER,Bar / Tavern,3900 PARADISE,Las Vegas,Nevada,89169,7,3.0,12.0
Lee's Discount Liquor Sample #9,Lees Discount Liquor #9,Grocery Store Sampling,670 W Pioneer Blvd,Mesquite,Nevada,89027-8874,12,24.0,7.0
Just Play,Just Play,Bar / Tavern,840 S Rancho Dr 7,Las Vegas,Nevada,89106-3837,17,3.0,34.0
Olive Garden #1363 Restaurant,Olive Garden,Restaurant,6850 W Cheyenne Ave,Las Vegas,Nevada,89108-4590,60,59.0,136.0
COSMO ESTIATORIO MILOS OYSTER BAR P3,COSMOPOLITAN RESORT & CASINO,Bar / Tavern,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,12,21.0,18.0
RED ROCK - HEARTHSTONE SPECIAL KITCHEN,RED ROCK CASINO RESORT & SPA,Special Kitchen,11011 W Charleston Blvd,Las Vegas,Nevada,89135-1402,4,9.0,9.0
Panda Express #753,Panda Express,Restaurant,7560 W Lake Mead Blvd,Las Vegas,Nevada,89128-1049,21,96.0,51.0
PH GARDE MANGER,PLANET HOLLYWOOD RESORT AND CASINO,Garde Manger,3667 S Las Vegas Blvd,Las Vegas,Nevada,89109-4331,32,0.0,62.0
MIRAGE 1 OAK SMALL BAR 2,MIRAGE HOTEL & CASINO,Bar / Tavern,3400 S Las Vegas Blvd,Las Vegas,Nevada,89109-8923,13,3.0,17.0
BJ'S Restaurant #487,BJ'S Restaurant #487,Restaurant,9520 S Eastern Ave,Las Vegas,Nevada,89123-8015,42,81.0,96.0
SLATER'S 50/50,SLATER'S 50/50,Restaurant,467 E SILVERADO RANCH Blvd,Las Vegas,Nevada,89183,9,16.0,27.0
"Rogich, Sig Jr High School Kitchen","Rogich, Sig Jr Hi School",Institutional Food Service,235 N Pavilion Center Dr,Las Vegas,Nevada,89144-4012,17,0.0,10.0
VENETIAN BANQUET GARDE MANGER,Venetian Hotel & Casino,Garde Manger,3355 S Las Vegas Blvd,Las Vegas,Nevada,89109-8941,3,3.0,3.0
BINION'S BANQUET DISHROOM WEST 2ND FL,Binions Gambling Hall & Hotel,Special Kitchen,128 Fremont St,Las Vegas,Nevada,89101-5604,9,3.0,8.0
BELLAGIO FIX PREP KITCHEN,BELLAGIO HOTEL & CASINO,Restaurant,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,19,43.0,42.0
MANDARIN EDR LEVEL 2,MANDARIN ORIENTAL,Restaurant,3752 S Las Vegas Blvd,Las Vegas,Nevada,89109-4382,24,8.0,62.0
MIRAGE BAKERY,MIRAGE HOTEL & CASINO,Kitchen Bakery,3400 S Las Vegas Blvd,Las Vegas,Nevada,89109-8923,41,48.0,72.0
BELLAGIO VIP LOUNGE,BELLAGIO HOTEL & CASINO,Buffet,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,9,61.0,17.0
Pioneer Bumbleberry Frontline Pantry,PIONEER HOTEL,Pantry,2200 S CASINO Dr,Laughlin,Nevada,89029,52,0.0,142.0
HONG MOON GAK RED GATE WOK,HONG MOON GAK RED GATE WOK,Restaurant,6850 W SPRING MOUNTAIN Rd F4,Las Vegas,Nevada,89146,58,0.0,145.0
MGM RACE & SPORTS BAR,MGM GRAND HOTEL & CASINO,Bar / Tavern,3799 S Las Vegas Blvd,Las Vegas,Nevada,89109-4319,28,37.0,69.0
MOBIL DESERT INN - SNACK BAR,MOBIL DESERT INN,Snack Bar,2979 E Desert Inn Rd,Las Vegas,Nevada,89121-3604,24,75.0,52.0
DICKEY'S BBQ RESTAURANT PIT,DICKEY'S BBQ RESTAURANT PIT,Restaurant,6584 N Decatur Blvd 100,North Las Vegas,Nevada,89084,9,24.0,12.0
MANDARIN MOZEN BUFFET,MANDARIN ORIENTAL,Buffet,3752 S Las Vegas Blvd,Las Vegas,Nevada,89109-4382,9,6.0,22.0
TI BAKE SHOP,TREASURE ISLAND HOTEL & CASINO,Kitchen Bakery,3300 S Las Vegas Blvd,Las Vegas,Nevada,89109-8916,28,0.0,47.0
Terrible Herbst #170 Deli,Terrible Herbst Chevron #170,Snack Bar,599 W Lake Mead Pkwy,Henderson,Nevada,89015-7015,22,3.0,48.0
PT'S PUB #503,PT'S PUB #503,Bar / Tavern,532 E Sahara Ave,Las Vegas,Nevada,89104-2725,19,0.0,23.0
SUBWAY STORE #62847,SUBWAY STORE #62847,Restaurant,7040 S DURANGO Dr 102,Las Vegas,Nevada,89113,5,16.0,16.0
MIRANDA'S MEXICAN FOOD @ FANTASTIC SWAPMEET,MIRANDA'S MEXICAN FOOD @ FANTASTIC SWAPMEET,Portable Unit,1717 S DECATUR,Las Vegas,Nevada,89102,2,6.0,6.0
MURPHY EXPRESS SNACK BAR,MURPHY EXPRESS,Snack Bar,3742 W ANN,North Las Vegas,Nevada,89031,2,3.0,3.0
MONTE CARLO BUFFET PORTABLE BAR,MONTE CARLO HOTEL & CASINO,Portable Unit,3770 S Las Vegas Blvd,Las Vegas,Nevada,89109-4337,1,0.0,0.0
MCCARRAN AUNTIE ANNES D GATE,McCarran International Airport,Snack Bar,5757 Wayne Newton Blvd,Las Vegas,Nevada,89111-5000,28,29.0,44.0
MARQUEE DAYCLUB PORT BAR DJ BOOTH,COSMO - MARQUEE DAYCLUB / NIGHTCLUB,Portable Unit,3708 S Las Vegas Blvd,Las Vegas,Nevada,89109-4312,9,3.0,14.0
Dotty's #72,Dotty's,Bar / Tavern,1631 N Rancho Dr,Las Vegas,Nevada,89106-1018,10,0.0,13.0
LOLLI AND POPS,LOLLI AND POPS @ FASHION SHOW,Snack Bar,3200 S LAS VEGAS 1055,Las Vegas,Nevada,89109,3,6.0,6.0
DOG ON IT BBQ - ARROYO GRANDE #1 (ADULT FIELDS),NEAL'S FAMILY FOODS,Barbeque,298 ARROYO GRANDE Blvd UPPER,Henderson,Nevada,89014,3,6.0,6.0
CENTERPLATE NORTH KITCHEN DISHROOM MC,CENTERPLATE @ CONVENTION CENTER,Special Kitchen,3150 PARADISE Rd,Las Vegas,Nevada,89109,1,0.0,0.0
JB MARGARITAVILLE PREP KITCHEN,JIMMY BUFFETT'S MARGARITAVILLE @ FLAMINGO,Special Kitchen,3555 S LAS VEGAS,Las Vegas,Nevada,89109,6,9.0,9.0
El Cortez Main Kitchen,El Cortez Hotel,Special Kitchen,600 Fremont St,Las Vegas,Nevada,89101-5614,21,0.0,37.0
CITY LIGHTS CAFE AND FLOWER SHOP,CITY LIGHTS CAFE AND FLOWER SHOP,Snack Bar,3685 S DECATUR,Las Vegas,Nevada,89103,3,9.0,9.0
KWIKY MINI MART SNACK BAR #1,Kwiky Mini Market #1,Snack Bar,4343 Stewart Ave,Las Vegas,Nevada,89110-3269,3,12.0,9.0
Gilligan's Hideaway,Gilligans Hideaway,Restaurant,2601 Atlantic St,Las Vegas,Nevada,89121-1001,91,0.0,184.0
CAESARS FOOD COURT WRAPS STATION,CAESARS PALACE HOTEL & CASINO,Restaurant,3570 S Las Vegas Blvd,Las Vegas,Nevada,89109-8924,7,18.0,14.0
ANGELINA'S PIZZERIA,ANGELINA'S PIZZERIA,Restaurant,7790 W CHEYENNE,Las Vegas,Nevada,89129,64,136.0,147.0
DRAGON NOODLE SUSHI,DRAGON NOODLE/DVINO/ @ MONTE CARLO,Restaurant,3770 S Las Vegas Blvd,Las Vegas,Nevada,89109-4337,21,0.0,47.0
Tony Roma's Ribs Bar,Tony Roma's,Bar / Tavern,555 N Stephanie St,Henderson,Nevada,89014-6613,15,0.0,29.0
Food 4 Less #793 Produce,Food 4 Less #793,Produce Market,1941 N Decatur Blvd,Las Vegas,Nevada,89108-2209,9,18.0,7.0
Mamitas Mexican & Cuban Food,Mamitas Mexican & Cuban Food,Restaurant,611 Fremont St,Las Vegas,Nevada,89101-5613,50,189.0,141.0
BELLAGIO PASTRY SHOP,BELLAGIO HOTEL & CASINO,Kitchen Bakery,3600 S Las Vegas Blvd,Las Vegas,Nevada,89109-4303,32,0.0,64.0
Palms Garduno's Exhibition Cooking,Palms Casino Resort,Main Kitchen,4321 W Flamingo Rd,Las Vegas,Nevada,89103-3903,3,0.0,2.0
J J's Bar,P T's Slot Casino,Bar / Tavern,46 S Water St,Henderson,Nevada,89015-7223,4,6.0,3.0
Fatburger Henderson #126,Fatburger,Restaurant,4663 E Sunset Rd,Henderson,Nevada,89014-2215,8,27.0,23.0
Legacy Golf Club - Cart #1,Legacy Golf Club,Portable Unit,130 Par Excellence Dr,Henderson,Nevada,89074-4228,7,35.0,10.0
V THEATER BAR 2  DELETED,V THEATER BAR @ MIRACLE MILE,Bar / Tavern,3663 S Las Vegas Blvd 360,Las Vegas,Nevada,89109-1920,1,1.0,1.0
Beach House Grill and Bar Upstairs Bar,Beach House Grill and Bar,Bar / Tavern,30 E Horizon Ridge Pkwy,Henderson,Nevada,89002-7935,13,25.0,44.0
Long John Silver's,Long John Silvers #31329,Restaurant,1229 E Flamingo Rd,Las Vegas,Nevada,89119-5255,35,48.0,70.0
