zip_code,violations,current_demerits,inspection_demerits,inspection_grade,rating,review_count,alcohol,ambience,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,caters,coat_check,corkage,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,good_for,has_pool_table,waiter_service
89110,44,96,90,B,2,13,0,0,0,3,1,0,1,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,1,0,0,1,-1,0,0,-1,-1,-1,-1,-1
89147,21,8,40,A,4,128,2,1,0,3,1,0,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,1,0,1,1,-1,1,1,0,1,-1,-1,-1
89106,44,45,134,B,3.5,209,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,2,0,1,1,-1,1,0,-1,-1,-1,-1,-1
89101,56,3,152,A,4.5,3,0,0,0,3,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1
89121,28,30,56,A,4,13,2,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,-1,1,0,0,-1,0,-1
89102,99,60,196,B,3.5,25,0,1,0,3,1,0,1,1,1,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,1,1,0,0,1,1,-1,0,0,-1,2,-1,-1
89148,25,72,53,A,2.5,20,0,1,0,3,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,-1,-1,-1,-1,-1
89121,35,48,66,B,4.5,132,0,1,1,3,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,-1,-1,-1
89148,37,99,80,B,3,98,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,5,1,0,1,1,0,0,0,0,1,2,0,1,1,1,-1,1,0,0,5,-1,-1
89128,22,48,59,A,4.5,3,0,1,0,3,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,-1,0,-1,-1,-1,-1,-1
