violations,rating,drive_thru,good_for_kids,noise_level,restaurants_table_service,accepts_apple_pay,waiter_service,inspection_grade
28,2.5,0,1,0,0,0,-1,A
28,2.0,0,1,0,0,-1,-1,A
28,2.5,0,1,1,0,-1,-1,A
28,2.5,0,1,0,0,-1,-1,A
11,4.5,-1,1,1,0,-1,-1,A
167,3.5,-1,1,1,1,0,-1,B
19,4.0,-1,1,0,-1,-1,-1,A
38,3.0,0,1,1,0,0,-1,A
84,3.5,-1,1,0,1,-1,-1,B
89,2.5,-1,1,0,1,0,-1,B
42,4.5,-1,1,1,-1,0,-1,A
67,3.5,-1,1,1,0,-1,-1,B
22,3.0,-1,1,1,1,0,1,A
45,3.0,-1,0,3,-1,0,-1,A
27,4.0,-1,1,1,0,0,-1,A
180,3.5,-1,1,1,1,0,-1,B
25,4.5,-1,1,0,1,0,-1,A
10,3.0,-1,1,1,1,-1,-1,A
99,4.0,-1,1,1,1,0,-1,A
41,4.0,-1,1,1,0,0,0,A
19,3.0,-1,1,1,1,-1,-1,B
33,4.0,-1,-1,-1,-1,1,-1,A
59,4.0,-1,1,0,1,1,-1,A
120,3.5,-1,1,1,1,0,1,B
40,3.5,-1,1,1,0,1,-1,A
23,3.5,-1,1,1,-1,-1,-1,A
7,2.5,-1,0,1,1,-1,-1,A
1,5.0,-1,1,0,-1,0,1,A
4,4.5,-1,0,1,-1,1,-1,A
57,3.0,-1,1,1,0,1,-1,A
2,4.0,-1,1,0,0,-1,-1,A
45,3.0,-1,-1,-1,-1,1,-1,A
28,4.0,0,1,1,0,1,-1,A
55,3.5,0,1,1,1,0,-1,A
35,3.5,-1,1,-1,-1,0,-1,B
21,4.0,-1,1,1,1,-1,-1,A
52,3.0,-1,1,1,0,-1,-1,A
53,3.5,-1,1,0,0,-1,-1,A
42,3.5,-1,0,1,-1,-1,-1,A
51,4.5,-1,1,1,-1,0,-1,A
34,4.0,-1,1,0,0,0,-1,A
7,3.5,-1,1,1,-1,0,-1,A
23,4.5,-1,1,1,-1,-1,-1,A
83,3.0,-1,1,0,0,0,-1,A
7,2.0,-1,1,1,0,-1,-1,A
54,4.5,-1,1,1,1,1,-1,A
90,3.5,-1,1,0,1,-1,1,B
58,3.5,-1,1,1,0,0,-1,A
55,4.0,-1,1,1,0,0,-1,A
103,3.5,-1,1,1,1,0,1,B
30,4.0,-1,1,1,-1,1,-1,B
98,4.0,-1,1,1,1,0,-1,B
55,4.5,-1,1,1,1,0,-1,A
76,3.5,-1,1,1,1,-1,-1,A
33,4.0,-1,1,1,1,0,1,A
93,3.5,-1,1,0,1,0,-1,B
117,3.5,-1,1,1,1,0,-1,B
61,3.5,-1,1,1,0,0,0,A
13,3.5,-1,1,0,1,0,-1,A
65,4.5,-1,1,1,1,0,1,A
9,3.0,-1,-1,-1,-1,-1,-1,A
5,4.5,-1,-1,3,-1,-1,-1,A
31,3.5,-1,1,1,0,0,-1,B
89,4.5,-1,1,1,0,0,-1,B
43,3.0,0,1,2,1,0,-1,A
3,4.0,-1,1,1,1,-1,-1,A
73,4.0,-1,1,1,1,0,-1,A
70,2.5,-1,1,1,-1,0,-1,B
45,3.5,-1,1,2,1,0,-1,C
35,2.5,-1,-1,-1,-1,0,-1,A
50,4.0,-1,1,3,-1,0,-1,A
7,4.5,-1,-1,-1,-1,1,-1,A
45,4.0,-1,1,1,0,-1,-1,B
64,3.0,-1,1,3,0,-1,-1,A
58,4.0,-1,-1,-1,-1,0,-1,A
19,3.0,-1,1,1,0,-1,-1,A
13,3.0,-1,1,0,1,-1,-1,A
14,3.5,-1,1,-1,1,-1,-1,B
9,3.0,-1,1,1,0,-1,-1,A
33,4.0,-1,1,1,-1,1,-1,A
66,3.5,-1,1,1,1,0,-1,A
67,3.0,-1,1,1,-1,-1,-1,A
1,2.5,-1,1,1,-1,-1,-1,A
1,3.5,-1,0,1,-1,0,-1,A
26,2.5,-1,1,0,1,-1,-1,A
64,4.0,0,1,1,-1,-1,-1,A
64,2.0,1,1,1,0,-1,-1,A
64,3.0,0,1,1,0,0,-1,A
11,4.0,-1,0,1,1,-1,-1,A
37,4.0,-1,1,1,1,0,1,A
13,4.0,1,1,1,0,-1,0,B
89,4.0,-1,1,1,1,0,-1,B
28,3.5,0,1,1,0,0,0,A
14,4.5,-1,1,1,1,-1,-1,A
47,3.0,-1,0,-1,-1,-1,-1,A
157,4.0,1,1,1,1,0,1,B
10,3.5,-1,1,1,-1,-1,-1,A
61,3.0,0,1,1,0,0,-1,B
11,4.0,-1,1,0,0,-1,-1,A
21,1.5,1,0,1,0,-1,-1,C
21,2.0,1,1,3,0,-1,0,C
21,2.5,1,1,1,0,-1,-1,C
21,2.0,0,1,3,0,-1,0,C
21,2.0,1,1,3,0,-1,-1,C
123,4.0,-1,1,1,1,0,1,A
16,4.0,-1,1,1,1,-1,-1,A
35,3.0,-1,0,3,0,-1,-1,A
36,3.0,-1,1,0,1,-1,-1,A
70,4.0,0,1,0,1,-1,-1,A
47,3.5,0,1,1,0,-1,-1,A
85,4.0,-1,1,1,1,-1,-1,B
40,2.5,-1,1,0,0,-1,-1,A
40,4.0,0,1,1,-1,-1,-1,A
16,3.0,0,0,1,1,-1,-1,A
42,4.5,-1,1,1,0,0,0,B
42,4.0,-1,1,1,1,0,1,A
7,3.0,-1,1,1,-1,-1,-1,A
31,4.0,-1,1,0,-1,-1,-1,A
26,4.0,0,1,1,0,-1,-1,A
41,3.0,-1,1,1,0,-1,-1,B
33,4.0,-1,1,1,0,1,-1,A
46,3.5,-1,1,1,0,0,-1,B
16,3.5,0,1,1,0,1,0,A
36,3.5,-1,1,0,1,-1,-1,B
91,3.5,-1,1,1,1,0,1,A
35,4.0,-1,1,1,1,-1,1,A
43,4.0,-1,1,0,0,0,-1,A
24,4.0,-1,0,1,-1,0,-1,A
41,4.5,-1,1,1,1,1,1,B
132,3.5,-1,1,3,1,0,-1,B
5,2.5,0,1,1,1,-1,-1,A
82,4.0,-1,1,1,1,-1,1,B
54,4.0,-1,1,1,1,0,1,A
38,4.0,-1,1,1,1,0,1,D
38,4.0,-1,1,1,1,0,1,D
35,4.0,-1,1,1,0,0,0,B
28,3.5,0,0,1,-1,-1,-1,A
17,4.5,-1,1,1,-1,0,-1,A
46,4.0,0,1,1,1,0,1,B
5,3.5,-1,1,1,-1,-1,-1,C
18,3.5,-1,1,0,0,-1,-1,A
41,3.5,-1,1,1,0,0,-1,A
34,2.0,-1,1,1,0,0,-1,A
53,4.5,-1,1,1,1,0,-1,A
70,4.0,-1,1,1,1,0,-1,A
50,4.0,-1,1,1,1,0,-1,A
31,4.0,-1,0,1,1,0,-1,A
77,4.0,0,1,1,1,1,-1,A
77,3.5,0,1,1,1,0,1,A
33,3.5,-1,1,1,0,0,0,A
80,4.0,-1,1,1,1,0,1,B
7,4.0,0,1,1,0,-1,-1,A
85,4.5,-1,1,1,1,0,1,A
11,4.0,-1,0,2,-1,0,-1,A
1,3.0,-1,1,-1,1,-1,-1,A
4,4.0,-1,1,1,0,-1,-1,A
117,3.0,-1,1,1,1,0,-1,A
91,3.5,0,1,1,0,0,0,B
34,3.0,0,1,1,0,0,0,A
13,4.5,-1,1,-1,-1,-1,-1,A
93,3.5,-1,1,1,0,0,0,A
76,3.5,1,1,1,-1,-1,-1,B
48,3.5,-1,1,1,0,1,0,A
17,3.0,-1,1,1,-1,0,-1,A
17,3.0,-1,0,-1,0,-1,-1,A
11,3.0,-1,1,1,-1,-1,-1,A
50,3.0,-1,-1,-1,-1,0,-1,B
63,4.5,0,1,0,1,0,1,B
7,4.0,-1,1,1,-1,-1,-1,A
4,3.5,0,1,1,0,-1,-1,A
7,3.5,-1,1,0,1,-1,-1,A
79,2.0,1,1,1,0,0,0,A
51,4.0,-1,0,1,0,0,-1,A
129,4.0,-1,1,0,0,0,-1,B
54,4.5,-1,1,1,-1,-1,-1,A
37,2.0,-1,1,1,0,-1,-1,B
9,3.5,-1,1,1,-1,0,-1,A
35,3.0,-1,1,1,1,0,1,B
3,4.0,-1,1,1,0,-1,-1,A
36,3.5,0,1,1,0,0,0,A
36,2.5,0,1,1,0,0,-1,A
96,3.5,-1,1,1,1,0,-1,B
48,3.5,-1,1,1,1,0,-1,A
19,4.5,-1,1,-1,0,0,-1,A
33,3.5,-1,1,1,0,0,0,A
21,4.0,-1,1,1,0,1,0,C
38,3.5,-1,1,1,0,0,-1,A
54,2.0,1,1,1,0,-1,-1,A
77,3.5,-1,1,1,0,0,-1,A
28,4.0,-1,1,1,1,1,-1,A
59,3.5,-1,-1,1,-1,0,-1,A
53,2.5,-1,1,0,-1,-1,-1,B
13,3.5,-1,1,1,-1,-1,-1,A
13,4.0,-1,1,1,-1,-1,-1,A
26,3.5,-1,1,1,-1,-1,-1,A
54,3.5,1,1,1,0,0,0,B
60,3.0,-1,-1,2,0,-1,-1,A
28,4.0,-1,1,1,1,-1,-1,B
27,4.0,-1,1,1,-1,-1,-1,A
98,4.0,-1,1,0,1,1,-1,A
6,3.5,-1,1,1,0,-1,-1,A
31,2.5,-1,1,1,1,-1,-1,A
48,4.0,-1,1,1,1,-1,-1,A
44,3.5,-1,1,1,1,-1,-1,B
98,4.0,-1,1,1,1,-1,-1,B
57,2.5,0,1,1,0,0,0,A
50,4.5,-1,1,1,-1,-1,-1,A
35,3.5,1,1,3,0,-1,-1,A
76,3.5,-1,1,1,0,0,-1,A
37,4.0,-1,1,1,1,0,1,A
20,4.0,-1,0,1,1,0,1,A
25,4.0,-1,0,1,1,1,1,C
8,3.5,-1,-1,-1,-1,-1,-1,A
78,4.5,-1,1,0,0,1,0,A
30,2.5,-1,1,1,1,0,1,A
33,3.5,-1,1,0,1,-1,-1,B
45,4.0,-1,1,1,0,1,0,A
8,4.0,-1,1,1,1,-1,-1,A
42,3.5,-1,1,1,0,0,-1,A
26,4.0,-1,1,1,0,-1,-1,B
88,3.5,-1,1,1,1,0,-1,A
23,3.5,-1,1,1,-1,-1,-1,B
18,4.5,-1,1,1,-1,0,-1,A
121,3.0,-1,1,0,1,0,1,B
62,4.0,-1,1,0,1,-1,-1,A
29,4.0,-1,1,0,-1,0,-1,A
38,4.0,-1,1,1,1,1,1,A
1,3.5,-1,1,1,-1,-1,-1,A
5,4.0,-1,1,1,1,0,1,A
40,4.0,-1,1,1,1,0,-1,A
