Accepts Apple Pay,Accepts Google Pay,Gender Neutral Restrooms,Good For,Good for Working,Has Gluten-free Options,Has Pool Table,Liked by Vegans,Liked by Vegetarians,Offers Military Discount,Waiter Service,business_id
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,cHAhW7XJ2no_qzc46HpohQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Lizf_tbfqlXJAlP8GP29QA
No,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,yRk8ezAFV59HDHsuHiiU6Q
No,No,Null,"Lunch, Dinner",Null,Yes,Null,Yes,Yes,Null,Yes,nMaIIKEAW2cTEWbEyeFyXQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,QnTFXSKoKgwVNwkl1ANTwA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,X3s0BN02lS6EigSnJaSyDw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,E8JxHzlUrwio8gxV9k8a9Q
No,No,Yes,Null,Null,Null,Null,Null,Null,Yes,No,WHdmQ-zPYYTJUqaUOfNpkQ
No,Null,Null,"Dinner, Late Night",Null,Null,Null,Yes,Yes,Null,Null,P8uECqGqXWTwEndkh-6bQw
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,7NvIgf7XW55OKa5ZU7gw8Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,BeAr85oCQpeaWFJjLhRPWg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,wD7Qg9eounsAtUZjlMZOuA
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,FiKSIDLW3rgxmOkEFYpiEw
No,No,Null,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Yes,2Y0-nrSZNsLRStyupZgM7g
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3rDzxvhe5CFzeWjvLj92pw
No,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No,kwLlQn95rqiqvmM4Yc2hIg
No,Null,Yes,"Breakfast, Brunch, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,mibbKeg4gbD9O58TCjDWgQ
No,Null,Null,"Breakfast, Brunch, Lunch, Dessert",Null,Null,Null,Null,Null,Null,Null,Tq032toLj_WQY3e7P3aQ8A
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,QpOAv584eb-ecG4TLEm95g
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,ucv_SCACwuW4wEOudO_xyg
No,No,Null,"Lunch, Dinner",Null,Yes,Null,Yes,Yes,Null,No,56Ll9rqG2WxXj4X2pmlkHQ
Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,No,yU34swtpTS8-SMjeLIEFcQ
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,6Na0jTJjX5GQY_ZJ53G02A
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,zCuFlGmDGFyj3ytMfmnXEw
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null,I5TnTKHzJuLA0YLZPGCNwQ
Yes,Yes,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,Suy2V5n_w8uzsXTdDdtCnA
No,No,Yes,Null,Null,Yes,Null,Null,Yes,Null,Null,yYwTV3c9Q3S1UDdpDhjgTg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9r6ijZgxDLJFysxIohtTcQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,zMDYrtWiQjR5odg-6Gf6kQ
Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Ji35uFlQyOpKjMFNKwp4mw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,zMDYrtWiQjR5odg-6Gf6kQ
Null,Null,Null,Null,Yes,Null,Null,Null,Null,Null,Null,Ji35uFlQyOpKjMFNKwp4mw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Bv7e_e229DfXIEg_Rtf5vg
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,No,B3omTXI--0eiBC7nCv_WXg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,JTknlKD6bviJZLngdpbydw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,IRH3mIW2q6J2CR5EoCQ5iA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,qhQS3KPJs9cya6tcQCEk2A
Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null,eRQwgSQD1KyCmJk_PAGOXQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,v2UKNMDqWN1UaWlK2Ugx2Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,h0MNaniQdLa3ZGmXh9DDeQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8fiZjbPMgg4qDSLIdZsWZg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,CgnHLwWbteqb8qxcZgBLyw
Null,Null,Null,Brunch,Null,Null,Null,Null,Null,Null,Null,KdQM64AQ5_ppgs6RolwJ4w
No,No,Yes,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No,wT-J6sib_NSr8rcH2aTcAA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,E9YrPcoz_USW31ZBIiMeMg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,TUfb2lH2nwKqu_IyM8wA-A
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,2dCnTMv3Hh-fM8bOjYS4Xw
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,RRw9I8pHt5PzgYGT2QeODw
No,No,Null,"Lunch, Dinner",Null,Null,Yes,Null,Null,Null,Yes,5PP6BwtNYlPARHApB9lzcQ
Yes,No,Null,"Lunch, Late Night",Null,Null,No,Null,Null,Null,Yes,b0WztBYRaswkUARxLQ1aKg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ASYsl1vHY0aKRXlPtHeCWQ
Yes,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,No,kkdm8TM6qTaVnrz5XsG0hQ
No,No,Null,Lunch,Null,Null,Null,Null,Null,Null,Yes,8945PbOxSjb6hwHdVWWUIw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Oyo5CWthu2upxxaf69MfIg
Yes,No,Null,"Lunch, Dinner",Null,Yes,Null,Null,Yes,Null,No,ai8nfTBNvL579cjIuqZajQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,lgThAiX5kMvSxizl2tQ1hA
No,Null,Yes,Lunch,Null,Null,Null,Null,Yes,Null,Null,9MK66QkfnTp6BxZudH9wxg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,XjsCGzq5P1pCiAHotA9HCw
No,No,Null,"Brunch, Lunch",Null,Null,Null,Yes,Yes,Null,Null,Jur1iiejUFw_YCkfDfy1gQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,eTUDAJdOHBwKa2yaD_jB6Q
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,jOSB_Sc4B3IsI5-MJluBsg
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,T6mV9V8sfyW3Wj5tsKgabw
Null,Null,Yes,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null,5TeA1dyLR7MIor-DfIrYog
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,LTpH7PllA7ruroTZRXnWqw
Yes,Null,Yes,"Brunch, Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,NnoJ7MBgV_F-bv7FA_X_BA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,f4wR4t1uXCXFY7xBslzMcw
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,HUwzarG0givckxXWTF5lIQ
No,Yes,Yes,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,4EfiNcKSsafogIhAjwv0gg
No,Null,Null,"Breakfast, Brunch, Lunch",Null,Yes,Null,Null,Yes,Null,Null,0jtRI7hVMpQHpUVtUy4ITw
No,Yes,Null,"Breakfast, Lunch, Dinner",Null,Yes,Null,Yes,Yes,Null,Null,p5rpYtxS5xPQjt3MXYVEwA
No,No,Null,"Breakfast, Lunch, Dinner, Dessert",Null,Null,Null,Null,Null,Null,Null,JbopSXzZIy7id23GJsO9pA
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,wwgH65yjLssksjz8ASU3QA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,D1BrHyiZON7u_ef-qt4_Uw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,KhYA1VGwy1naIiIAvPfolw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,gpflXHwzORmGqJNgkKtkEA
No,No,Null,Null,Null,Null,Null,Null,Null,Null,No,S6V63OzrCaj22BQJeKBDCw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1mkBh9tt9BnN6bGKsPGLGQ
No,Null,Yes,Null,Null,Null,Yes,Null,Null,Null,Null,xBWTtwUd3tFCX5vobs2p7A
No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,Os1n1_idfw9vv9kwULGJnQ
Null,Null,Null,Null,Null,Null,No,Null,Null,Null,Null,o4GOd5mOs0AwvHgKb9o-Dw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,RUJfBZJuYEGgKYRW6mIzCQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,XvXPivT5QJDTfTY2A5AHzg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,r7UZDbth0NtbZDJKq1-JyQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,4vwhK3Uxlp2gBtQuP78NOA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,TkrydveE1Laf_LHoKFALNw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,xwoM2Zc38DFKv3-8dCU8Pw
No,Null,Null,Dinner,Null,Null,Null,Yes,Yes,Null,Yes,PSRZaGGxXmOmabL2si8pKw
No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,jb_QTeYTSS642UafKRFs2Q
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,AxeQEz3-s9_1TyIo-G7UQw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1dFh7yxHwFzjscCQgDYv1g
No,Null,Yes,"Lunch, Dinner, Dessert",Null,Null,Null,Null,Null,Null,Yes,KBKE7XTLLe2uUqmzuYUyHQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,w4QcDDG4mYyCg48BYE_Frg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,pXWgt_1E3ZNvnmKrAsqzSg
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,kosTPb88O4Q0XGbVbEOGCA
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,8OaXvfag7E7oznV4rVb7vg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,nOkSC1GtMUJ_I70sb0SaeQ
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,9ehTNgvu0vZgHjWkQqF6KQ
Null,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No,cFmranpzNq60YuAJDwCWVQ
No,No,Null,Null,Null,Null,Null,Null,Yes,Null,Null,n_K2xa_nqzUqaUJa0S_5tQ
No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,pCVQq3jzfrT2CNHAIMMy0g
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,Pg08gKwJApGWoHtnq3aWqw
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,1ZnVfS-qP19upP_fwOhZsA
Yes,No,Null,"Breakfast, Brunch, Lunch, Dessert",Null,Null,Null,Null,Null,Null,Yes,OYHpqY6-3C-wXR-uPbHhwA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,ye62ltisuIosDq5F_6V25w
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,VA0GbpAN0qpa3bdHJ2a2iA
Null,Null,Null,"Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,i53HvxUdQEMllZ1XmpjjyA
No,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,No,KJ6DuC0Jve9hAtzM2SGNOQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,tP4bAKEDz8aigXVisQYzog
Null,Null,Null,"Lunch, Dessert",Yes,Null,Null,Null,Null,Null,No,yLiaMaJFq03JxXPk4puloQ
Null,Null,Null,"Breakfast, Brunch, Lunch, Late Night, Dessert",Null,Null,Null,Null,Null,Null,Null,YrHVGQ8_Dcs5xCe78CvGmA
No,No,Null,"Lunch, Dinner, Dessert",Null,Null,Null,Null,Null,Null,Yes,fpM-O9Ul62xizBq9YNO_tQ
Yes,No,Yes,"Breakfast, Brunch, Lunch",Yes,Null,Null,Yes,Yes,Null,Null,UMqfeCItzQ2glr4d9apGlA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,IcnJlauqhHfelo_qp9uKuw
No,Yes,Null,Dinner,Null,Null,Null,Null,Null,Null,Null,_kdpjoGrIzA64E6aXHA66w
No,No,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,tpCALADHTuBaCJNgAluj2w
No,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No,suQugTjSMYMIrK5fAabC_Q
No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,9qcTpWYxrZrN13p1zAP6dA
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Yes,Yes,uW6UHfONAmm8QttPkbMewQ
No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,t6ZIBNrQjvtwor8W-u3sUg
Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,16NS8EICI94IGdn-S0yxkw
Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,16NS8EICI94IGdn-S0yxkw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,pdgzBiQBs8HGUBJzXe9j6w
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,T67VqyRbY8zF3C4KZNQnyg
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Null,7sPNbCx7vGAaH7SbNPZ6oA
No,Null,Yes,"Breakfast, Lunch",Null,Null,Null,Null,Null,Null,No,bAdwf-n52f46-ZjlfJ1Hwg
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,FykLjv4tIq618q8F2pvTKg
No,Yes,Null,Lunch,Null,Null,Null,Null,Null,Null,No,6uV3KMOo8YQofuNUs4D9pA
No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,6Zogn4PXnK-ODBiRy5iz7Q
No,Null,Yes,"Breakfast, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Null,H2Chxto2e6dHTDJ8-s3-pQ
No,Null,Null,"Breakfast, Lunch, Dinner",Null,Null,Null,Null,Null,Null,No,VFcx35QDd_kZgLT4UDV8xg
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,r8WvwxtzK2QAMAciMANz6w
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes,FqXwm6UpihHY7Ha-pr4y6Q
No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,NUqNfkbCIPL42JAZVrr3QQ
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,agGJSdMTRrkA6VrYMbC-SQ
No,Yes,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Yes,w7_1xM_WNf8nh2w-tzfAyQ
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,rquarcYSOS9PIstXZAP_kA
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,v5TTbYOaj4KewOtxQk48Jg
Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null,DJXZrIi4k1Iyd1mQRwxIMg
No,Null,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null,H7liERB1ZJbaIDVcuK16oA
No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,No,9tLCuUmw3Tlco-tKPGkIWQ
No,No,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Yes,a3jFGgoWbPkPGENEafiXwg
Yes,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Yes,Null,AL5YzikrmxwcBzBNLGO7Jw
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,nRNWaEuPtfcyR8pI-LnASA
No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,y7Js-07RF8d3N_AEtaw2VQ
No,No,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null,CVt6kBVBABSq-NA_FZfrVw
