name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,current_score,inspection_score,current_grade,inspection_grade,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
Berry Blendz,Berry Blendz,Snack Bar,7175 W Lake Mead Blvd 140,Las Vegas,Nevada,89128,47,87,110,91.42857143,92.14285714,A,A,slVkMoNTCGI2rOhMaL5u5A,Null,4,133,Null,Null,No,Casual,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Yes,Null,Yes,Null,Null,Null,No,Null,Average,Null,No,Null,Null,No,Yes,1,No,Null,1,Null,1,0,No,No,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chicken Now,Chicken Now @ LV OUTLET CENTER,Restaurant,7400 Las Vegas Blvd,Las Vegas,Nevada,89123,23,27,51,72.5,80,C,B,4uMs5UbtIAaHhuKQlQhXEQ,Southeast,3.5,28,Null,Null,No,0,Null,Null,Null,1,Null,1,0,Null,Yes,Null,Null,Null,Null,No,Null,1,0,Null,Null,1,Null,Average,Null,0,0,Null,0,1,2,0,Null,1,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Flame Kabob,Flame Kabob,Restaurant,6350 W Charleston Blvd,Las Vegas,Nevada,89146,6,27,51,95,88.33333333,A,B,vsGqvLu4OlL2GDmPWSVx_w,Westside,4.5,7,Null,Null,0,0,Null,Null,Null,Null,Null,1,5,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,0,Null,1,0,Null,0,1,1,0,0,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,ROBERTO'S TACO SHOP,Restaurant,6355 E RUSSELL,Las Vegas,Nevada,89122,111,156,267,95,90.41666667,A,A,QIn3PuGUkinSibUn-NsljQ,Null,2.5,17,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,0,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,No,No,Null,"Lunch, Late Night",Null,Null,Null,Null,Null,Null,No
Roberto's Taco Shop,ROBERTO'S TACO SHOP,Restaurant,6355 E RUSSELL,Las Vegas,Nevada,89122,111,156,267,95,90.41666667,A,A,5fpXjlC71y_mKORnPdX5zA,Null,2.5,48,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,No,Null,Null,Null,Null,1,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,1,0,Null,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Yes,Null,No
Panda Express,Panda Express @ RED ROCK,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135,20,91,38,95,95,A,A,uTn8bL6sabHD2916u5mvkA,South Summerlin,3.5,34,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,No
Panda Express,Panda Express @ RED ROCK,Restaurant,11011 W Charleston Blvd,Las Vegas,Nevada,89135,20,91,38,95,95,A,A,wKI0q-WkPi0N3Mk_T3frmQ,South Summerlin,3,22,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,0,Null,1,1,Null,Null,0,Null,2,Null,0,0,Null,0,1,1,0,0,1,Null,1,0,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,No
Pizza Patron,Pizza Patron,Restaurant,2885 E Charleston Blvd,Las Vegas,Nevada,89104,10,15,25,95,95,A,A,CcMi0EM4KFqa_4hVe1oN3g,Downtown,2,3,Null,Null,0,0,Null,Null,Null,Yes,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,0,Null,Null,0,Null,0,Null,0,0,Null,1,1,1,0,0,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Pizza Patron,Pizza Patron,Restaurant,2885 E Charleston Blvd,Las Vegas,Nevada,89104,10,15,25,95,95,A,A,9Y0dDkFEe_spzPqccq2hIw,Downtown,3.5,5,Null,Null,No,Null,Null,Null,Null,Yes,Null,Yes,Private Lot,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,0,Null,Quiet,Null,No,Casual,Null,Yes,0,Null,No,Null,Yes,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Pho Saigon,PHO SAIGON - DELETED,Restaurant,6820 SPRING MOUNTAIN,Las Vegas,Nevada,89146,54,90,125,95,90.33333333,A,A,03icrim6SfEQJlejDMbzsA,Chinatown,4,108,Null,Null,0,1,Null,Null,Null,1,Null,1,1,No,0,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,1,1,1,Null,1,1,No,Yes,Null,Null,Null,Null,Null,Null,Null,Null,Null
McDonald's,MCDONALDS,Restaurant,4135 S GRAND CANYON,Las Vegas,Nevada,89147,22,30,39,95,94.09090909,A,A,4s_kb5VXnx96fEJLZ_AkIQ,Spring Valley,3.5,25,Null,Null,0,1,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,3,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1,Null,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,No
McDonald's,MCDONALDS,Restaurant,4135 S GRAND CANYON,Las Vegas,Nevada,89147,22,30,39,95,94.09090909,A,A,T6VKCBhHojQkCWp_IYO24w,Spring Valley,2,40,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,1,Null,1,3,Null,Null,1,Null,Average,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1,Null,Null,Null,"Breakfast, Lunch, Dessert",Yes,Null,Null,Null,Null,Null,No
Pad Thai Restaurant,Pad Thai Restaurant,Restaurant,860 S Rancho Dr,Las Vegas,Nevada,89106,14,0,33,95,85,A,B,QCe_OTC_9Vf5-oQuflQH7Q,Null,3,87,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,0,Null,0,0,Null,1,1,1,0,1,1,Null,Null,0,No,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null
Heaven's Cookie & Creations,HEAVEN'S COOKIE & CREATIONS,Bakery Sales,3370 S Hualapai Way 145,Las Vegas,Nevada,89117,2,4,4,95,95,A,A,wPxrC9l4c4IGgLVancQzgA,South Summerlin,4,5,Null,Null,Beer & Wine Only,Null,Null,Null,Null,Null,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Yes,Null,Average,Null,No,Casual,Null,No,Yes,1,No,Null,Yes,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Rosati's Pizza,Rosati's Pizza,Restaurant,430 E Silverado Ranch Blvd 110,Las Vegas,Nevada,89123,50,69,97,95,92.27272727,A,A,9wNrqTeoEepFSbFu4QLuUQ,Southeast,3.5,61,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,Yes,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,1,1,2,0,1,1,Null,Null,1,Null,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Yes,Null,Yes
Diamond Cabaret,Diamond Cabaret,Snack Bar,3177 S Highland Dr,Las Vegas,Nevada,89109,24,9,45,95,95,A,A,mF5L7qVH829Ow68Lz8PMNg,Null,1.5,21,Null,Null,0,1,Null,Null,3,1,Null,1,1,Null,No,1,Null,Null,Null,Null,1,Yes,Null,Null,0,1,1,1,Null,0,Casual,Null,No,1,4,No,Null,Yes,1,1,Free,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Mimi's Cafe,Mimi's Cafe,Restaurant,1121 S Fort Apache Rd,Las Vegas,Nevada,89117,42,8,109,95,92.69230769,A,A,3FlWR_osNPb8dcqLgHebHw,Westside,3,252,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,3,Null,Null,0,Null,1,Null,1,0,Null,0,1,2,1,1,1,Null,1,0,Null,Yes,Null,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Yes
Greek American Grille,Greek American Grille,Restaurant,4860 W Flamingo Rd,Las Vegas,Nevada,89103,3,20,20,95,95,A,A,UiBRXZKRV9EpU9EpERZIFw,Null,4,19,Null,Null,0,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,0,Null,1,Null,1,0,Null,1,1,1,0,0,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
L & L Hawaiian Barbecue,L & L Hawaiian Barbecue,Restaurant,10860 W Charleston Blvd,Las Vegas,Nevada,89135,130,198,310,95,88.07692308,A,B,8L_eeOwZryvlUEO42Zq8nQ,Summerlin,3.5,115,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,1,0,No,Null,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Joe's Crab Shack,Joe's Crab Shack,Restaurant,4250 E Sunset Rd,Henderson,Nevada,89014,56,108,97,95,91.66666667,A,A,hPtLBHnfTjIefcnwZh48jA,Eastside,3.5,31,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,Yes,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,2,Null,1,0,Null,0,1,2,1,1,1,Null,1,0,No,Null,Null,Dinner,Null,Null,Null,Null,Null,Null,Null
El Triunfo Restaurant,El Triunfo Restaurant,Restaurant,4450 E Charleston Blvd,Las Vegas,Nevada,89104,106,165,333,95,87,A,B,DX690eOaqO7CK2Qr6__rMQ,Sunrise,4,9,Null,Null,1,0,Null,Null,Null,Yes,Null,0,0,Null,Yes,Null,Null,Null,Null,Null,Null,1,0,Null,Null,1,Null,1,Null,0,0,Null,0,1,2,0,Null,1,Null,Null,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Angelina's Italian Grill,Angelina's Italian Grill,Restaurant,5611 S Valley View Blvd 100,Las Vegas,Nevada,89118,11,32,41,95,92.5,A,A,t8w-NFL8B9E2IdOqj5MQng,Null,4,4,Null,Null,No,0,Null,Null,Null,Yes,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Yes,Null,Average,Null,1,0,Null,1,Yes,1,No,1,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Elevation Burger,Elevation Burger,Restaurant,5130 S Fort Apache 240,Las Vegas,Nevada,89148,1,3,3,95,95,A,A,_7kVnn5_19ckuFPS9PCrpQ,Spring Valley,3.5,85,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,2,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Krung Thai Restaurant,Krung Thai Restaurant,Restaurant,4130 S Decatur Blvd,Las Vegas,Nevada,89103,39,3,55,95,86.25,A,B,3ZHyw0d8mk0HOEP7v4fW1A,Null,4,220,Null,Null,1,1,Null,2,Null,1,Null,1,1,Null,1,Null,1,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,2,1,1,1,Null,1,1,No,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes
Burger King,Travel Center,Restaurant,8050 Dean Martin Dr,Las Vegas,Nevada,89139,46,58,96,95,88.33333333,A,B,XBIaV-NJ-OxyAd_rsiBr2A,Southwest,1.5,10,Null,Null,No,0,Null,Null,Null,No,Null,1,Null,Null,0,Null,Null,Null,Null,0,Null,1,0,Null,Null,0,Null,Average,Null,No,0,Null,0,1,1,0,0,1,Null,Null,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Lakes Lounge,Lakes Lounge,Bar / Tavern,2920 Lake East Dr,Las Vegas,Nevada,89117,19,6,26,95,95,A,A,gBy6UXTpoSHhW6qd15XU0g,The Lakes,4,200,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,4,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,1,1,Null,1,0,No,No,Null,"Breakfast, Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,Yes
Lee's Sandwiches,CTR@SPR MTN-Lee's Sandwiches,Restaurant,3989 Spring Mountain Rd,Las Vegas,Nevada,89102,57,78,147,95,90.38461538,A,A,qkyCuFJF2Uboh6n2Lmuwlg,Chinatown,3,687,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1,No,No,Null,"Lunch, Late Night",Null,Yes,Null,Yes,Yes,Null,No
Port of Subs,PORT OF SUBS #84,Restaurant,1306 W Craig Rd,North Las Vegas,Nevada,89032,31,33,46,95,89.54545455,A,B,izvmwI3kSYIt-a6vA4gUMw,Null,3,19,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,0,0,Null,1,1,1,0,0,1,Null,Null,0,No,Null,Null,Lunch,Null,Null,Null,Null,Null,Null,Null
Golden Spoon Frozen Yogurt,Golden Spoon Frozen Yogurt,Snack Bar,7170 N Durango Dr,Las Vegas,Nevada,89149,27,0,59,95,94.16666667,A,A,HbN0Qx_4QnzPcVNZy9PUVA,Centennial,3.5,44,Null,Null,No,Casual,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Yes,Null,Average,Null,No,Null,Null,Yes,Yes,1,No,Null,1,Null,1,0,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Winchell's Donut House,Winchell Donut House,Restaurant,3307 S Jones Blvd,Las Vegas,Nevada,89146,90,144,185,95,89.73684211,A,B,QcdKTLeP3J5Ki-fVcPZkfA,Westside,4,45,Null,Null,2,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,0,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Null,Null,Null,Breakfast,Null,Null,Null,Null,Null,Null,Null
Papa Murphy's,PAPA MURPHY'S TAKE N BAKE PIZZA,Restaurant,4900 W Craig Rd 4,Las Vegas,Nevada,89130,32,54,61,95,88,A,B,OwL4BM7GchsxBXxWrkmmqw,Northwest,3,22,Null,Null,0,1,Null,Null,Null,0,Null,1,0,Null,1,Null,Null,Null,Null,No,Null,1,0,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Round Table Pizza,Round Table Pizza,Restaurant,9350 W Sahara Ave,Las Vegas,Nevada,89117,42,54,100,95,78.88888889,A,C,24f5ie972m_bYpirVW-dZA,Westside,3.5,10,Null,Null,1,0,Null,Null,Null,Null,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,2,Null,0,0,Null,1,1,2,0,0,1,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chinatown Cuisine,Chinatown Cuisine,Restaurant,2000 E Charleston Blvd,Las Vegas,Nevada,89104,94,84,244,95,85,A,B,i5vy3X8WBjQ-F7P8HqC7KA,Downtown,4.5,5,Null,Null,0,0,Null,Null,Null,Null,Null,Yes,Private Lot,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,0,Null,1,Null,Yes,Casual,Null,Yes,1,1,0,1,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Del Mar Deli,South Point Hotel - Del Mar Deli,Restaurant,9777 Las Vegas Blvd,Las Vegas,Nevada,89183,26,64,77,95,94,A,A,sUMi2q41l4AzOsmJMRY8zQ,Southeast,3.5,133,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,2,Null,0,0,Null,0,1,2,0,0,1,Null,1,1,No,No,Null,"Breakfast, Lunch, Dessert",Null,Null,Null,Null,Null,Null,No
Teriyaki Madness,Teriyaki Madness,Restaurant,7481 W Lake Mead Blvd,Las Vegas,Nevada,89128,57,55,193,95,91.11111111,A,A,WSGHEQdcdbBWXDpna99EiQ,Null,3.5,119,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,0,Null,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,1,No,No,Null,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null
Tropical Smoothie Cafe,Tropical Smoothie Cafe,Restaurant,6350 W Charleston Blvd,Las Vegas,Nevada,89146,37,94,84,95,86.25,A,B,wqFkAsxYPA5tcdSkYMtrrw,Westside,2.5,67,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,3,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,1,No,Null,Yes,"Breakfast, Brunch, Lunch",Null,Null,Null,Null,Null,Null,Null
Baja Fresh,Baja Fresh,Restaurant,4343 N Rancho Dr,Las Vegas,Nevada,89130,121,132,245,95,86.81818182,A,B,f5sSn5cO4t6mF_mdnzKkyA,Northwest,2.5,29,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,Null,Null,0,0,Null,0,1,1,0,0,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,8580 W Lake Mead Blvd,Las Vegas,Nevada,89128,53,6,122,95,87.94117647,A,B,6-lmL3sC-axuh8y1SPSiqg,Summerlin,3.5,75,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,3,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,No,Null,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No
Cookie Bouquets,Cookie Bouquets,Caterer,5643 W Charleston Blvd,Las Vegas,Nevada,89146,3,6,6,95,95,A,A,D0lM6bi-sovThoQdRVGgGg,Westside,3.5,3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Northside Nathan's,Northside Nathan's,Restaurant,9320 W Flamingo Rd,Las Vegas,Nevada,89147,14,48,36,95,95,A,A,GdE5ZF7XMDyjwBVB_5qszA,Spring Valley,4,27,Null,Null,0,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,1,1,2,0,0,1,Null,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4430 E Washington Ave,Las Vegas,Nevada,89110,57,70,138,95,92.22222222,A,A,2nEhcvxBZk2W4x_fi0cYxw,Sunrise,2.5,13,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,1,Null,Null,0,Null,1,Null,0,0,1,0,1,1,0,0,1,Null,Null,0,Null,Null,Null,Brunch,Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,4430 E Washington Ave,Las Vegas,Nevada,89110,57,70,138,95,92.22222222,A,A,LA9j7bDQLkDmLspdHwL3Bg,Sunrise,4,16,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,0,Null,Null,0,Null,Average,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Mix Zone Cafe,MIX ZONE CAFE,Restaurant,2202 W CHARLESTON,Las Vegas,Nevada,89102,68,120,143,95,86,A,B,oYWixgv1kiPV1j02TYzaPA,Downtown,3,97,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,No,Null,Null,Null,Null,No,1,1,Null,Null,0,Null,1,Null,0,0,Null,1,1,1,0,1,1,Yes,1,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Dee's Donuts,Dee's Donuts,Restaurant,8680 W Warm Springs Rd,Las Vegas,Nevada,89148,23,45,48,95,95,A,A,mVIU34pAjLCmRpftGPaH1A,Southwest,4,32,Null,Null,Beer & Wine Only,"Casual, Trendy, Classy",Null,Null,Null,Null,Null,1,1,Null,No,Null,Null,Null,No,Null,Null,Yes,Null,Null,No,No,Null,Average,Null,No,Casual,Null,No,Yes,1,Yes,Null,Yes,Null,1,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Project Cupcake,Project Cupcake,Restaurant,9255 S Eastern Ave,Las Vegas,Nevada,89123,1,8,8,95,95,A,A,3AEWSso6YdRb00SICNKn7Q,Southeast,4,33,Null,Null,Full Bar,Null,Null,Null,Null,Null,Null,1,1,Null,Yes,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,Yes,Null,Null,Null,No,Casual,Null,No,Yes,1,Null,Null,Yes,Null,1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tacos Los Toritos,Tacos Los Toritos,Restaurant,861 N Nellis Blvd 8,Las Vegas,Nevada,89110,64,263,129,86.17647059,92.05882353,B,A,nGjqCFbLPeBJe55Mx-nIEw,Sunrise,4.5,44,Null,Null,0,0,Null,Null,Null,1,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,No,Null,Yes,"Brunch, Lunch",Null,Null,Null,Null,Null,Null,No
Tony's Mexican Food,Tony's Mexican Food,Restaurant,5752 S Fort Apache Rd,Las Vegas,Nevada,89148,82,126,166,95,92.22222222,A,A,ru35Z92NtGynsmw0iZDarQ,Spring Valley,3.5,141,Null,Null,1,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,0,0,Null,0,1,1,0,1,1,Null,Null,0,Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,Mangos,Restaurant,6650 Vegas Dr,Las Vegas,Nevada,89108,56,121,134,95,88.52941176,A,B,ygW1BY7co1ioTKmeWzJt-Q,Null,4,5,Null,Null,0,Casual,Null,Null,Null,Null,Null,1,0,Null,Yes,Null,Null,Null,Null,Null,Null,1,0,Null,Null,Yes,Null,1,Null,1,0,Null,0,1,1,0,0,1,Null,1,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,Mangos,Restaurant,6650 Vegas Dr,Las Vegas,Nevada,89108,56,121,134,95,88.52941176,A,B,RZGxU6bCoqgbi7xVB_UckQ,Null,3,53,Null,Null,0,0,Null,Null,Null,1,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,Null,0,Null,No,Null,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No
Rachel's Kitchen,RACHEL'S KITCHEN,Restaurant,3330 S HUALAPAI,Las Vegas,Nevada,89117,79,84,137,95,93,A,A,Qy_tDaVTWlS14fEglzo1Tg,South Summerlin,4,375,Null,Null,0,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,1,Null,Null,1,2,Null,Yes,1,Null,1,Null,1,0,Null,0,1,2,0,0,1,Null,1,1,No,No,Null,"Breakfast, Lunch",Null,Yes,Null,Yes,Yes,Null,No
Smoothie King,SMOOTHIE KING,Restaurant,8000 W Sahara 190,Las Vegas,Nevada,89117,20,69,37,95,95,A,A,AeOHcC1tKrogRUfKJ8OCqg,Westside,3.5,40,Null,Null,No,Casual,Null,Null,Null,1,No,1,1,Null,1,Null,Null,Null,Null,Null,Null,Yes,Null,Null,Null,No,Null,Average,Null,No,Casual,Null,No,Yes,1,No,Null,1,Null,1,1,No,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Null
Irene's Gaming Lounge,Irene's Gaming Lounge,Bar / Tavern,6125 W Tropicana Ave H,Las Vegas,Nevada,89103,32,39,72,95,94.16666667,A,A,l3oWxCf7Y-X-fgAxNVR7-A,Null,2.5,8,Null,Null,2,0,Null,Null,2,1,Null,1,1,Null,0,0,Null,Null,Null,Null,0,0,Null,Null,1,1,1,1,Null,0,0,Null,0,1,1,1,0,1,1,1,1,Null,Yes,Null,Null,Null,Null,Yes,Null,Null,Null,No
TANGTANGTANG 2,TANG TANG TANG 2,Restaurant,8635 S RAINBOW,Las Vegas,Nevada,89139,1,5,5,95,95,A,A,y2plF1wqtEiOdzArakENfg,Southwest,4.5,6,Null,Null,Null,0,Null,Null,Null,Yes,Null,1,0,Null,No,Null,Null,Null,0,Null,Null,1,Null,Null,Null,0,Null,Null,Null,0,Null,Null,0,1,1,1,1,1,Null,1,0,No,Null,Yes,"Brunch, Lunch, Dinner",Null,Yes,Null,Yes,Null,Null,Yes
Kan Pai Sushi,Kan Pai Sushi,Restaurant,8125 W Sahara Ave 300,Las Vegas,Nevada,89117,33,60,105,95,86.66666667,A,B,gqqHdBJqOVHDMy3jAdSkmw,Westside,4,22,Null,Null,2,0,Null,Null,Null,Yes,No,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,Average,Null,0,0,Null,0,1,2,No,1,1,Null,1,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
JACK IN THE BOX,JACK IN THE BOX,Restaurant,8221 S FORT APACHE,Las Vegas,Nevada,89178,7,12,12,95,95,A,A,vWcDq3HDcN8PsoErage4jA,Southwest,2.5,7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Yes,Private Lot,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
