name,location_name,category_name,address,city,state,zip_code,violations,current_demerits,inspection_demerits,current_score,inspection_score,current_grade,inspection_grade,business_id,neighborhood,rating,review_count,accepts_insurance,ages_allowed,alcohol,ambience,byob,byob_corkage,best_nights,bike_parking,business_accepts_bitcoin,business_accepts_creditcards,business_parking,byappointmentonly,caters,coat_check,corkage,dietary_restrictions,dogs_allowed,drive_thru,good_for_dancing,good_for_kids,good_for_meal,hair_specializes_in,happy_hour,has_tv,music,noise_level,open_24_hours,outdoor_seating,restaurants_attire,restaurants_counter_service,restaurants_delivery,restaurants_good_for_groups,restaurants_price_range2,restaurants_reservations,restaurants_table_service,restaurants_takeout,smoking,wheelchair_accessible,wifi,accepts_apple_pay,accepts_google_pay,gender_neutral_restrooms,good_for,good_for_working,has_gluten_free_options,has_pool_table,liked_by_vegans,liked_by_vegetarians,offers_military_discount,waiter_service
Thai Cuisine,Thai Cuisine,Restaurant,601 N Nellis Blvd,Las Vegas,Nevada,89110,98,148,215,95,91,A,A,eRQwgSQD1KyCmJk_PAGOXQ,Sunrise,4,178,Null,Null,0,1,Null,Null,Null,1,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,0,Null,0,0,Null,1,1,2,0,1,1,Null,1,0,Yes,Null,Yes,"Lunch, Dinner",Null,Null,Null,Yes,Yes,Null,Null
Cici's Pizza,Cici's Pizza,Restaurant,8465 W Sahara Ave,Las Vegas,Nevada,89117,6,24,10,95,95,A,A,v2UKNMDqWN1UaWlK2Ugx2Q,Westside,3.5,9,Null,Null,0,0,Null,Null,"Fri, Sat, Sun",No,No,1,0,Null,No,No,Null,Null,No,Null,Null,1,1,Null,Yes,1,Null,1,Null,0,0,Null,Yes,1,1,No,0,1,Yes,Yes,Free,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Dot's Southern Kitchen,Dot's Southern Kitchen,Restaurant,4955 E Craig Rd 3,Las Vegas,Nevada,89115,31,0,52,95,90,A,A,h0MNaniQdLa3ZGmXh9DDeQ,Null,2.5,37,Null,Null,0,1,Null,Null,"Mon, Thu, Sun",1,Null,1,0,Null,1,No,Null,Null,Null,Null,No,1,0,Null,Yes,1,Null,1,Null,0,0,Null,1,0,1,0,1,1,Null,0,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Sunshine Cafe,Sunshine Cafe,Restaurant,1581 N Decatur Blvd,Las Vegas,Nevada,89108,48,66,121,95,91.36363636,A,A,8fiZjbPMgg4qDSLIdZsWZg,Null,4,39,Null,Null,0,1,Null,Null,Null,Null,Null,1,1,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,1,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Thai Original BBQ Restaurant,Thai Original BBQ Restaurant,Restaurant,6820 W Flamingo Rd A,Las Vegas,Nevada,89103,44,36,133,95,89.16666667,A,B,CgnHLwWbteqb8qxcZgBLyw,Null,3.5,56,Null,Null,0,1,Null,Null,Null,Yes,Null,1,1,Null,0,Null,Null,Null,Null,Null,Null,1,1,Null,Yes,0,Null,1,Null,0,0,Null,1,1,2,0,1,1,Null,1,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Tacos La Mexicana,Tacos La Mexicana,Restaurant,3675 S Decatur Blvd,Las Vegas,Nevada,89103,98,24,236,95,89.73684211,A,B,KdQM64AQ5_ppgs6RolwJ4w,Chinatown,4,45,Null,Null,0,1,Null,Null,Null,0,Null,1,0,Null,1,Null,Null,Null,Null,Null,Null,1,1,Null,Null,1,Null,1,Null,1,0,Null,0,1,1,0,1,1,Null,Null,0,Null,Null,Null,Brunch,Null,Null,Null,Null,Null,Null,Null
Roberto's Taco Shop,Roberto's Taco Shop,Restaurant,6820 W Flamingo Rd D,Las Vegas,Nevada,89103,57,14,128,95,92.5,A,A,wT-J6sib_NSr8rcH2aTcAA,Null,2.5,41,Null,Null,0,1,Null,Null,Null,0,Null,1,1,Null,0,Null,Null,Null,Null,0,Null,1,3,Null,Null,0,Null,1,Null,0,0,Null,0,1,1,0,0,1,Null,1,0,No,No,Yes,"Lunch, Dinner, Late Night",Null,Null,Null,Null,Null,Null,No
Cake World Bakery,Cake World Bakery,Snack Bar,220 N Maryland Pkwy,Las Vegas,Nevada,89101,50,112,129,95,92.14285714,A,A,E9YrPcoz_USW31ZBIiMeMg,Downtown,4.5,43,Null,Null,No,Casual,Null,Null,Null,1,Yes,1,1,Null,Yes,Null,Null,Null,No,Null,Null,Yes,Null,Null,Null,Yes,Null,Average,Null,No,Casual,Null,1,Yes,2,No,Null,1,Null,Yes,No,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Long John Silver's,Long John Silvers #31329,Restaurant,1229 E Flamingo Rd,Las Vegas,Nevada,89119,35,48,70,95,90,A,A,TUfb2lH2nwKqu_IyM8wA-A,University,3.5,9,Null,Null,0,0,Null,Null,Null,Null,Null,1,0,Null,0,Null,Null,Null,Null,1,Null,1,Null,Null,Null,0,Null,3,Null,0,0,Null,0,1,4,0,0,1,Null,Null,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Nevada Chicken Cafe,Nevada Chicken Cafe,Restaurant,6155 W Sahara Ave 1,Las Vegas,Nevada,89146,76,113,193,95,91.66666667,A,A,2dCnTMv3Hh-fM8bOjYS4Xw,Westside,3.5,350,Null,Null,1,1,Null,Null,Null,1,0,1,1,Null,1,Null,Null,Null,0,Null,Null,1,2,Null,Null,1,Null,1,Null,1,0,Null,1,1,2,0,0,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Null
Grimaldi's Pizzeria,Grimaldi's Pizzeria,Restaurant,750 S Rampart Blvd 7,Las Vegas,Nevada,89145,37,98,73,95,95,A,A,RRw9I8pHt5PzgYGT2QeODw,Westside,4,505,Null,Null,2,1,Null,Null,Null,1,Null,1,0,Null,0,Null,Null,Null,Null,Null,Null,1,2,Null,Null,1,Null,1,Null,1,0,Null,0,1,2,1,1,1,Null,1,0,No,No,Null,"Lunch, Dinner",Null,Null,Null,Null,Null,Null,Yes
